Date,Price,Share,Fund Flow,Bench,Return,asset,withdraw
2008-09-12,104.872,638.176,613.0083030679962,0.008869648869648842,1.3127819927086348,23127.819927086348,-0.035098262379873235
2008-09-11,104.3896,635.026,-313.16128156457853,0.004228956228956216,1.3021434425400231,23021.43442540023,-0.04885964959630906
2008-09-10,102.9008,647.026,1362.9001985794966,-0.010093314093314083,1.2693103714558,22693.103714558,-0.04498404317581994
2008-09-09,102.4849,636.126,-1316.0052069778612,-0.014094276094276159,1.2785571181025637,22785.571181025636,-0.07251857258812777
2008-09-08,105.6205,629.476,2683.528091622138,0.01607022607022611,1.2128629299188902,22128.629299188902,-0.052956859921133304
2008-09-05,103.483,616.326,-1184.9505873227172,-0.00449254449254448,1.259534903639496,22595.34903639496,-0.0499693246980113
2008-09-04,103.1586,629.526,-2624.9746548360054,-0.007613275613275574,1.2666628155865005,22666.628155865004,-0.07773589031279016
2008-09-03,106.3608,635.026,-215.29697640257655,0.023191919191919142,1.200415015981971,22004.15015981971,-0.07852706819325783
2008-09-02,106.4522,636.276,355.9493152937066,0.02407118807118809,1.198527357479154,21985.27357479154,-0.08421579543989421
2008-08-29,107.1176,628.776,359.2400333742844,0.030472342472342404,1.1849547151917188,21849.547151917188,-0.0939588215037006
2008-08-28,108.282,618.476,1148.069760322498,0.04167388167388161,1.161708986959733,21617.08986959733,-0.08283551940316836
2008-08-27,106.9845,615.026,1125.060012455986,0.029191919191919137,1.1882478934532494,21882.478934532493,-0.07382051177521354
2008-08-26,105.9532,610.176,-405.96055705285835,0.0192708032708032,1.2097566542793334,22097.566542793335,-0.07111506863394068
2008-08-25,105.6455,615.576,-760.7443750305029,0.01631072631072627,1.2162115272928364,22162.115272928364,-0.08958295954925455
2008-08-22,107.8329,609.926,1702.1969950752828,0.03735353535353528,1.1721492851902395,21721.492851902396,-0.07621030894721892
2008-08-21,106.2942,602.526,-761.7643586040067,0.022551226551226558,1.204054875876382,22040.54875876382,-0.07461438346691562
2008-08-20,106.1112,610.526,-1144.5479943385872,0.02079076479076473,1.2078625686558815,22078.625686558815,-0.07029508749153301
2008-08-19,105.6205,623.976,-867.8598580258549,0.01607022607022611,1.218167907032245,22181.67907032245,-0.08032339152059886
2008-08-18,106.7849,625.076,-722.1558015108749,0.02727176527176518,1.1942415387190806,21942.415387190806,-0.09273006200991796
2008-08-15,108.2654,622.976,501.8606622798543,0.04151418951418948,1.1646406643531715,21646.406643531715,-0.08829599209676198
2008-08-14,107.7414,621.126,-554.8843543605763,0.036473304473304435,1.175219840010491,21752.19840010491,-0.08136507678921456
2008-08-13,106.9346,630.776,-740.2057443029917,0.028711880711880716,1.1917561986923861,21917.56198692386,-0.08687185146605891
2008-08-12,107.5834,633.626,-246.46828031502082,0.0349533429533429,1.1786176740970107,21786.176740970106,-0.0962744970777788
2008-08-11,108.7145,629.076,354.0154242857243,0.04583453583453582,1.156184054077901,21561.84054077901,-0.08681591282915513
2008-08-08,107.6,632.076,2881.172189611694,0.035113035113035033,1.1787511371856465,21787.511371856464,-0.06952719231281801
2008-08-07,105.6372,616.326,386.72619609406684,0.016230880230880273,1.2200000157136917,22200.000157136918,-0.08318021421462585
2008-08-06,107.2341,603.326,-110.76055188572354,0.03159307359307355,1.1874254916801612,21874.254916801612,-0.07909063826484486
2008-08-05,106.76,606.826,1199.9691947483516,0.027032227032227053,1.1971827447645829,21971.82744764583,-0.05357299441014107
2008-08-04,103.9571,611.426,27.659328066001763,6.830206830201165e-05,1.258064878331955,22580.64878331955,-0.06226930622610427
2008-08-01,104.9302,605.276,-465.5880725294264,0.009429533429533395,1.2373164886868275,22373.164886868275,-0.06719651178462216
2008-07-31,105.4874,606.276,-438.4400384072287,0.014789802789802704,1.2255607486727553,22255.607486727553,-0.07937376573315158
2008-07-30,106.9014,602.143,2701.2897590249995,0.02839249639249632,1.196507235519286,21965.07235519286,-0.06267268666842041
2008-07-29,105.03,586.943,989.5015757604851,0.010389610389610372,1.2363540698166766,22363.540698166766,-0.08226883362275228
2008-07-28,102.8342,589.643,-1754.3623437742135,-0.010734006734006804,1.1895999398870998,21895.999398870998,-0.09553193175792152
2008-07-25,104.3646,597.593,1445.642437173985,0.0039884559884559205,1.1579557286589661,21579.55728658966,-0.09574848865423724
2008-07-24,104.3896,583.393,169.3873079478435,0.004228956228956216,1.1574390490641924,21574.390490641923,-0.11413361087796292
2008-07-23,106.602,569.493,745.440703364904,0.02551226551226552,1.113574283443561,21135.74283443561,-0.1189027401693189
2008-07-22,106.0281,565.343,231.746599923521,0.019991341991341914,1.1021956950374496,21021.956950374497,-0.12878669622288041
2008-07-21,104.8387,569.343,478.26978367623815,0.00854930254930255,1.0786137242233207,20786.137242233206,-0.12927034028065498
2008-07-18,104.7805,564.893,-1597.2555282475296,0.007989417989417996,1.0774598056918072,20774.598056918072,-0.13466189122024697
2008-07-17,104.1317,583.543,28.53679023670702,0.001747955747955673,1.0645961915466862,20645.96191546686,-0.14323203068387402
2008-07-16,103.1004,588.893,1217.0868531361994,-0.008173160173160264,1.0441488344753802,20441.4883447538,-0.1637594800226223
2008-07-15,100.6302,591.043,904.6394156102469,-0.031936507936507944,0.9951727252563949,19951.72725256395,-0.17538434461468722
2008-07-14,102.0691,573.643,-1044.8780280842184,-0.018094276094276066,0.9674371489302034,19674.371489302033,-0.18277503029304265
2008-07-11,103.0006,578.393,-46.23140268775023,-0.009133237133237106,0.9498038315602236,19498.038315602236,-0.19218756762345157
2008-07-10,104.2149,571.893,44.89081381961296,0.002548340548340522,0.9273466110495534,19273.466110495534,-0.18887243134802267
2008-07-09,103.7907,573.593,-1566.3726253912682,-0.0015324675324675495,0.9352561410462855,19352.561410462855,-0.20419617712774252
2008-07-08,105.8285,577.143,1970.0318339192818,0.018071188071188096,0.8986954639467268,18986.95463946727,-0.18980889984478388
2008-07-07,103.982,568.243,-489.1701118982164,0.0003078403078402739,0.9330218360130275,19330.218360130275,-0.1980002824249376
2008-07-03,105.055,566.893,2879.914907117003,0.010630110630110668,0.9134781488612672,19134.781488612673,-0.19882629136731667
2008-07-02,104.9468,539.843,-2706.7456428335136,0.009589225589225524,0.9115073874914437,19115.073874914437,-0.18485742664675275
2008-07-01,106.7766,555.743,-1129.986526650966,0.027191919191919184,0.9448354757955353,19448.354757955352,-0.18739728963316193
2008-06-30,106.4439,567.893,986.7994829599629,0.023991341991341956,0.9387756577942393,19387.756577942393,-0.18452038442698693
2008-06-27,106.0697,560.393,-945.0700977559754,0.02039153439153434,0.9456396193739339,19456.39619373934,-0.1889478215219651
