Date,Bench,Return
4/16/2002,-0.19027898,0.910907652
4/17/2002,-0.191996152,0.906855199
4/18/2002,-0.195500722,0.915125836
4/19/2002,-0.192568543,0.922105944
4/22/2002,-0.206016354,0.954118715
4/23/2002,-0.209449735,0.962568807
4/24/2002,-0.217389129,0.982278631
4/25/2002,-0.216960077,0.98336538
4/26/2002,-0.231838384,0.945680049
4/29/2002,-0.23562963,0.936077185
4/30/2002,-0.22847619,0.954196164
5/1/2002,-0.219034151,0.978111948
5/2/2002,-0.22203848,0.97050227
5/3/2002,-0.230479076,0.949123045
5/6/2002,-0.24557191,0.910894339
5/7/2002,-0.248218374,0.904191097
5/8/2002,-0.22025012,0.833350179
5/9/2002,-0.229263107,0.854541541
5/10/2002,-0.24378355,0.889480524
5/13/2002,-0.228405002,0.927905324
5/14/2002,-0.211594998,0.885903888
5/15/2002,-0.214671477,0.878544798
5/16/2002,-0.210593555,0.868790206
5/17/2002,-0.206731121,0.859646528
5/20/2002,-0.215315055,0.879769697
5/21/2002,-0.222467532,0.896903975
5/22/2002,-0.220751323,0.901090919
5/23/2002,-0.212454064,0.921333292
5/24/2002,-0.222539683,0.896727954
5/28/2002,-0.226759981,0.886431921
5/29/2002,-0.232481962,0.872472311
5/30/2002,-0.234628187,0.867236284
5/31/2002,-0.233054353,0.87107588
6/3/2002,-0.253440115,0.920809924
6/4/2002,-0.251580568,0.916025528
6/5/2002,-0.244570467,0.933972059
6/6/2002,-0.259949976,0.89459904
6/7/2002,-0.260808081,0.892402209
6/10/2002,-0.25794709,0.89972662
6/11/2002,-0.270679173,0.867131267
6/12/2002,-0.266244348,0.855777692
6/13/2002,-0.273612314,0.874412377
6/14/2002,-0.274684945,0.871644498
6/17/2002,-0.255228475,0.921851086
6/18/2002,-0.249148629,0.906162303
6/19/2002,-0.266673401,0.950651879
6/20/2002,-0.276044252,0.975578383
6/21/2002,-0.287361231,1.006460906
6/24/2002,-0.283628668,1.016970078
6/25/2002,-0.299707552,0.971699383
6/26/2002,-0.298558923,0.974933391
6/27/2002,-0.286284752,1.009491773
6/28/2002,-0.289657528,1.018987947
7/1/2002,-0.303511304,1.058364174
7/2/2002,-0.31829822,1.10206461
7/3/2002,-0.314422318,1.114016165
7/5/2002,-0.287145743,1.029907358
7/8/2002,-0.296046176,1.055252025
7/9/2002,-0.313775854,1.107015301
7/10/2002,-0.338756133,1.030314663
7/11/2002,-0.333372775,1.04684398
7/12/2002,-0.340693603,1.024365763
7/15/2002,-0.337176527,1.035164759
7/16/2002,-0.349953824,0.995932739
7/17/2002,-0.348661857,0.999899657
7/18/2002,-0.369765272,0.935102726
7/19/2002,-0.391945166,0.867000522
7/22/2002,-0.409962482,0.811679297
7/23/2002,-0.426113516,0.762088393
7/24/2002,-0.391873978,0.656957684
7/25/2002,-0.397041847,0.671038549
7/26/2002,-0.38555748,0.639210767
7/29/2002,-0.35562482,0.719065166
